"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.360333376E-3,3.948259279E-3,-1.246801794E-2,1.590887046E-1,1.596253619E-1
1.434533333E-2,-5.442105934E-2,-2.834657058E-2,2.092654163E-1,2.180761202E-1
2.433133335E-2,-2.368306527E-1,-2.804236919E-2,2.659348762E-1,3.572065101E-1
3.431633336E-2,-2.657087351E-1,-3.187097982E-2,3.972662634E-1,4.789962164E-1
4.430233338E-2,-1.105606154E-1,1.206149027E-2,2.902306420E-1,3.108101587E-1
5.428733333E-2,-8.373651356E-3,3.829677746E-2,7.494610190E-2,8.457942652E-2
6.427333335E-2,-2.022369169E-2,2.558887750E-2,-7.402691960E-2,8.089359173E-2
7.425833336E-2,-2.770286523E-2,2.194153056E-2,-3.314476651E-1,3.333263179E-1
8.424433338E-2,-1.642553409E-1,1.178712429E-1,-4.201247835E-1,4.662384375E-1
9.422933334E-2,-2.763023185E-1,2.042610767E-1,-3.011403769E-1,4.568928597E-1
1.042153334E-1,-3.036372842E-1,1.374325182E-1,-8.151194036E-2,3.431144034E-1
1.142003334E-1,-3.333168372E-1,5.144965053E-2,-1.500600189E-1,3.691411516E-1
1.241863333E-1,-1.769379151E-1,9.082918614E-2,-2.151950777E-2,2.000501339E-1
1.341713333E-1,1.731116799E-1,2.777893750E-1,5.339776736E-1,6.263120201E-1
1.441573334E-1,-3.347709301E-1,-5.942919955E-2,-8.614235044E-2,3.507476442E-1
1.541423334E-1,-7.408290669E-1,-3.860448718E-2,-2.595467931E-1,7.859278279E-1
1.641283333E-1,-6.225604326E-1,2.130126044E-1,4.104745388E-4,6.579939440E-1
1.741133333E-1,-4.285859238E-1,-6.764526844E-2,-6.749382555E-2,4.391095455E-1
1.840993334E-1,-4.260926711E-1,-2.776803245E-1,-4.244090384E-1,6.624080003E-1
1.940843334E-1,-4.499245334E-1,-9.487516701E-2,-5.056841666E-1,6.834836204E-1
