"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.886249615E-4,-4.858737268E-1,2.905822058E-1,-1.597110822E0,1.694483483E0
9.596374992E-3,-2.281557052E-1,2.211085130E-1,-8.259110248E-1,8.849141321E-1
1.958137500E-2,-2.000395515E-1,1.206059857E-1,1.736102647E-1,2.910363378E-1
2.956637501E-2,-3.739073677E-1,1.973509835E-1,4.928319865E-1,6.493361974E-1
3.955237503E-2,-3.062065325E-1,1.809852116E-1,2.567038769E-1,4.386513054E-1
4.953737499E-2,-1.867106041E-1,1.056667882E-1,3.670472682E-2,2.176546733E-1
5.952237500E-2,-9.811503612E-2,1.285348101E-1,-1.392222047E-3,1.617086763E-1
6.950837502E-2,-7.953232896E-2,1.699955159E-1,2.709260595E-1,3.295827612E-1
7.949337503E-2,-4.270020593E-2,1.475742213E-1,6.194908637E-1,6.382557392E-1
8.947837504E-2,-1.635391301E-2,9.867439538E-2,7.048514414E-1,7.119126640E-1
9.946337499E-2,-6.738768032E-2,4.350211501E-2,6.619451576E-1,6.667870164E-1
1.094493750E-1,-1.099724768E-1,9.847529769E-2,5.697813445E-1,5.885933320E-1
1.194343750E-1,-6.439796241E-2,2.623293369E-1,4.208381438E-1,5.000685171E-1
1.294193750E-1,-2.167800386E-3,2.957118219E-1,3.453429884E-1,4.546558705E-1
1.394053750E-1,7.628007106E-2,2.393815005E-1,3.085534769E-1,3.979037574E-1
1.493906667E-1,1.240768015E-1,2.289763802E-1,2.510116124E-1,3.617071536E-1
1.593756667E-1,-3.894076421E-1,-7.942737874E-1,6.125876409E-1,1.075998503E0
1.693606667E-1,-3.744040156E-1,4.257021502E-2,2.814557254E-2,3.778660654E-1
1.793466667E-1,-1.560423418E-1,5.949075611E-1,-4.600922567E-1,7.680814432E-1
1.893316667E-1,2.278658478E-1,-7.211941168E-2,3.323791265E-2,2.413064710E-1
1.993166667E-1,8.781377703E-2,-4.222522929E-2,7.442569971E-2,1.226108242E-1
2.093026667E-1,5.234590809E-1,2.387270509E-1,3.104041207E-1,6.537206837E-1
2.192876667E-1,3.917612926E-1,3.261310843E-1,1.329650992E-1,5.267998786E-1
2.292726667E-1,-4.214603972E-1,-9.593702137E-2,-4.224157226E-1,6.043739084E-1
2.392586667E-1,-1.092395612E0,-8.043742678E-1,-1.000549230E0,1.685658595E0
2.492436667E-1,-2.930839918E-1,-1.191737102E-1,-8.318529654E-1,8.899887389E-1
2.592286667E-1,1.357213670E-2,-4.546444058E-2,-5.752128232E-1,5.771663626E-1
2.692136667E-1,8.227950619E-2,-2.795068485E-1,-7.563747668E-1,8.105533809E-1
2.791996667E-1,2.371431498E-1,-3.863957047E-2,-7.788982415E-1,8.151149370E-1
2.891846667E-1,2.724377475E-1,8.996511385E-2,-5.528314358E-1,6.228472079E-1
2.991696667E-1,1.755373790E-1,7.521419674E-3,-3.957518345E-1,4.330005285E-1
3.091556667E-1,1.880864905E-1,5.554767162E-2,-3.124062073E-1,3.688627253E-1
3.191406667E-1,2.253075082E-1,6.726885393E-2,-3.510674125E-1,4.225362707E-1
3.291256667E-1,-1.640558046E-1,-1.237028173E-1,-1.505953315E0,1.519905287E0
3.391106667E-1,-4.270048733E-1,-2.474269769E-1,-1.076537890E0,1.184266482E0
3.490966667E-1,-4.958875587E-1,-1.216831890E-1,-9.471887094E-1,1.076047267E0
3.590816667E-1,-5.648698296E-1,-2.104240420E-1,-9.979326010E-1,1.165858344E0
3.690666667E-1,-4.543983477E-1,-2.334382443E-1,-6.889095926E-1,8.576524349E-1
3.790526667E-1,-1.026478068E-1,4.045403458E-2,-7.075417453E-1,7.160924678E-1
3.890376667E-1,3.826156991E-1,1.905515487E-1,-6.386890268E-1,7.685234797E-1
3.990226667E-1,8.890016046E-1,1.820177568E-1,-3.705012184E-1,9.801660419E-1
4.090076667E-1,9.918178021E-1,1.926851977E-1,-3.406757408E-1,1.066250486E0
4.189936667E-1,8.158552026E-1,1.311554591E-1,-4.361198419E-1,9.343564537E-1
4.289786667E-1,9.421926291E-1,1.019253011E-1,-7.110436428E-1,1.184777945E0
4.389636667E-1,1.484999818E0,-7.345345393E-3,-1.382399309E0,2.028868222E0
4.489496667E-1,2.125621934E0,-1.500054936E-1,-2.044447378E0,2.953055254E0
4.589346667E-1,2.514824302E0,-2.842820137E-1,-2.077624480E0,3.274397809E0
4.689196667E-1,2.736752156E0,-3.218508128E-1,-1.723452196E0,3.250182730E0
4.789056667E-1,3.158366226E0,-2.055893083E-1,-1.159707516E0,3.370825671E0
4.888906667E-1,3.923662089E0,-1.580483022E-1,-2.091075414E-1,3.932407586E0
4.988756667E-1,4.825163287E0,3.360646083E-3,9.331723487E-1,4.914572481E0
5.088606667E-1,5.665806372E0,1.641902358E-1,1.935136605E0,5.989413490E0
5.188466667E-1,6.430830925E0,2.085664182E-1,2.261512980E0,6.820082645E0
5.288316667E-1,6.741407538E0,-1.916147187E-2,2.118352091E0,7.066424721E0
5.388166667E-1,6.628649247E0,-2.477715606E-1,2.171892706E0,6.979792225E0
5.488026667E-1,6.227491077E0,-8.013301342E-1,2.699949489E0,6.834727671E0
5.587876667E-1,5.823913329E0,-1.236440674E0,3.628782619E0,6.972432523E0
5.687726667E-1,5.465646240E0,-1.166175853E0,4.839926337E0,7.393114491E0
5.787576667E-1,5.652244924E0,-8.398716907E-1,5.844085638E0,8.173530087E0
5.887436667E-1,5.890064049E0,-4.870724060E-1,6.372278076E0,8.691146179E0
5.987286667E-1,5.708113316E0,-1.714562966E-1,6.349988490E0,8.540158588E0
6.087136667E-1,5.179451931E0,-3.592690095E-2,6.049141644E0,7.963675512E0
6.186996667E-1,4.745429485E0,-2.068511009E-2,5.874429764E0,7.551718607E0
6.286846667E-1,4.468337536E0,-7.480920397E-2,5.754606866E0,7.286092021E0
6.386696667E-1,4.339813982E0,-1.574288262E-1,5.592983394E0,7.080976803E0
6.486546667E-1,4.103284754E0,-1.040145843E-1,5.845045166E0,7.142290795E0
6.586406667E-1,3.836215518E0,-2.323074659E-1,6.391844029E0,7.458296478E0
6.686256667E-1,2.997467515E0,-1.862558918E-1,6.803880360E0,7.437223320E0
6.786106667E-1,1.902483706E0,-2.362594528E-1,6.898771899E0,7.160189697E0
6.885966667E-1,6.307368866E-1,-3.338194785E-1,6.846142865E0,6.883235910E0
6.985816667E-1,-6.415087735E-1,-3.563824219E-1,7.113026159E0,7.150781991E0
7.085666667E-1,-1.676577699E0,-4.993610606E-1,7.492839069E0,7.694342828E0
7.185526667E-1,-2.527998079E0,-3.248424676E-1,7.728445022E0,8.137884208E0
7.285376667E-1,-2.957074365E0,-3.027897668E-1,8.194054127E0,8.716564316E0
7.385226667E-1,-3.531311288E0,-3.896285572E-1,8.684322109E0,9.382932395E0
7.485076667E-1,-4.061431261E0,-4.598881523E-1,8.886305403E0,9.781264986E0
7.584936667E-1,-4.554838614E0,-6.872910833E-1,9.133486505E0,1.022934502E1
7.684786667E-1,-5.065906019E0,-8.148879270E-1,9.476353782E0,1.077630396E1
7.784636667E-1,-5.387332141E0,-1.017109056E0,9.515569303E0,1.098198150E1
7.884496667E-1,-6.358066419E0,-1.896095477E0,8.884388686E0,1.108839704E1
7.984346667E-1,-7.306299441E0,-2.472370593E0,8.150643813E0,1.122174774E1
8.084196667E-1,-8.225899817E0,-2.987885976E0,7.078158628E0,1.125580828E1
8.184046667E-1,-8.884366466E0,-3.651955719E0,6.118551602E0,1.138882882E1
8.283906667E-1,-9.176423779E0,-3.977808183E0,5.326951454E0,1.133164256E1
8.383756667E-1,-9.359964370E0,-4.259582874E0,4.745218985E0,1.132563828E1
8.483606667E-1,-9.465758042E0,-4.580111157E0,4.290043067E0,1.135704464E1
8.583466667E-1,-9.614448643E0,-4.950574368E0,3.735941616E0,1.144128791E1
8.683316667E-1,-9.660673807E0,-5.211812761E0,2.805968279E0,1.132983092E1
8.783166667E-1,-9.514913830E0,-5.398665215E0,1.851193392E0,1.109531830E1
8.883016667E-1,-9.241815530E0,-5.663573905E0,1.010072590E0,1.088611365E1
8.982876667E-1,-9.018424410E0,-5.894924254E0,3.942140168E-1,1.078135036E1
9.082726667E-1,-8.973454644E0,-6.120627363E0,-8.811403155E-2,1.086244593E1
9.182576667E-1,-8.762487103E0,-6.372098567E0,-7.122756511E-1,1.085781548E1
9.282436667E-1,-8.382140343E0,-6.546923883E0,-1.244733633E0,1.070849433E1
9.382286667E-1,-8.129992617E0,-6.694207644E0,-1.663500693E0,1.066191495E1
9.482136667E-1,-7.800819519E0,-6.854113789E0,-2.175740758E0,1.060968938E1
9.581986667E-1,-7.305700686E0,-6.975103791E0,-2.708923795E0,1.045770546E1
9.681846667E-1,-6.947103229E0,-7.223743188E0,-3.311465920E0,1.055511797E1
9.781696667E-1,-6.683379185E0,-7.568137173E0,-4.119656957E0,1.090485355E1
9.881546667E-1,-6.228650579E0,-7.833121877E0,-4.692784079E0,1.105333021E1
9.981406667E-1,-5.950346503E0,-8.086449571E0,-5.011981242E0,1.122128541E1
1.008125667E0,-5.802251149E0,-8.162482086E0,-5.508494636E0,1.142959953E1
1.018110667E0,-5.478634075E0,-8.298950837E0,-5.733628811E0,1.147878546E1
1.028096667E0,-5.158006098E0,-8.385227088E0,-5.961884814E0,1.150917594E1
1.038081667E0,-4.975508650E0,-8.611513749E0,-6.289096756E0,1.176718290E1
1.048066667E0,-4.481825309E0,-8.644445853E0,-6.591385526E0,1.175838277E1
1.058051667E0,-3.511483380E0,-8.671833041E0,-6.713992867E0,1.151559395E1
1.068037667E0,-2.739948829E0,-8.977072901E0,-6.619156292E0,1.148513768E1
1.078022667E0,-2.254682263E0,-8.943898138E0,-6.593744878E0,1.133818228E1
1.088007667E0,-1.570252514E0,-9.006438788E0,-6.384737324E0,1.115107633E1
1.097993667E0,-9.621662792E-1,-9.052310779E0,-6.479421287E0,1.117376367E1
1.107978667E0,-1.443987995E-1,-8.586688811E0,-6.946952956E0,1.104591468E1
1.117963667E0,7.080744267E-1,-8.066560267E0,-6.939949161E0,1.066459837E1
1.127948667E0,7.535774589E-1,-7.850646567E0,-6.233979732E0,1.005301118E1
1.137934667E0,5.167574408E-1,-7.422713996E0,-5.562683707E0,9.290165302E0
1.147919375E0,5.472941226E-1,-7.372764741E0,-5.558353844E0,9.249458808E0
