"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.623749552E-4,4.829653949E-2,1.714125887E-1,5.711548555E-1,5.982747698E-1
1.074837497E-2,1.336547783E-1,1.285410959E-1,4.733402932E-1,5.083674323E-1
2.073437499E-2,1.862563303E-1,2.355454347E-1,3.276376194E-1,4.444316393E-1
3.072037495E-2,2.186098516E-1,3.859495622E-1,3.593868309E-1,5.708819721E-1
4.070637497E-2,2.018023226E-1,4.394197181E-1,4.480598563E-1,6.592203735E-1
5.069237499E-2,1.525199425E-1,5.598934105E-1,4.910871774E-1,7.602036436E-1
6.067837495E-2,1.231245276E-1,7.293372416E-1,5.475508153E-1,9.202740661E-1
7.066437497E-2,1.854520458E-1,8.114225015E-1,6.457407689E-1,1.053461000E0
8.065037499E-2,2.917246056E-1,8.257572430E-1,8.239849520E-1,1.202468075E0
9.063637495E-2,2.903043169E-1,8.151615036E-1,1.000842175E0,1.323045703E0
1.006223750E-1,3.573604783E-1,8.316793031E-1,1.183609765E0,1.490076860E0
1.106083750E-1,5.472224942E-1,9.336173218E-1,1.468952134E0,1.824531210E0
1.205943750E-1,7.360559848E-1,9.819126919E-1,1.847423108E0,2.217860024E0
1.305803750E-1,8.067692873E-1,1.020815095E0,2.166061277E0,2.526808580E0
1.405663750E-1,9.420416978E-1,1.178219509E0,2.473848184E0,2.897510761E0
1.505523750E-1,1.086764963E0,1.327972841E0,2.766501912E0,3.255472743E0
1.605383750E-1,1.023746596E0,1.534597947E0,3.152977724E0,3.652987337E0
1.705243750E-1,7.138149306E-1,1.769146724E0,3.776673321E0,4.231155074E0
1.805103750E-1,3.138022301E-1,2.005133916E0,4.468283157E0,4.907605142E0
1.904963750E-1,-8.872184962E-2,2.124598379E0,5.060686210E0,5.489292737E0
2.004823750E-1,-1.103854913E-1,1.951908758E0,5.373290053E0,5.717899855E0
2.104683749E-1,2.244523895E-1,1.620073130E0,5.164266711E0,5.417071763E0
2.204543750E-1,4.495596671E-1,1.264827298E0,4.408143375E0,4.607995226E0
2.304403750E-1,4.780379462E-1,9.593783998E-1,3.656137063E0,3.810021708E0
2.404263749E-1,3.730196142E-1,8.085506415E-1,2.977535527E0,3.107831332E0
2.504123750E-1,3.769641459E-1,7.625853869E-1,2.586808789E0,2.723089817E0
2.603983750E-1,5.797865152E-1,8.066929811E-1,2.538585632E0,2.726045301E0
2.703843749E-1,8.149217677E-1,8.416069981E-1,2.796563033E0,3.032023190E0
2.803703750E-1,9.279309046E-1,7.426726940E-1,3.135366495E0,3.353079414E0
2.903563750E-1,9.597380036E-1,4.506153819E-1,2.993822361E0,3.176023235E0
3.003423749E-1,8.976779956E-1,1.859338564E-1,2.597956506E0,2.754954662E0
3.103283750E-1,5.784469181E-1,-1.649575549E-1,2.240555390E0,2.319892300E0
3.203143750E-1,4.029059029E-1,-3.529934853E-1,2.099396002E0,2.166656674E0
3.303003750E-1,7.811482501E-1,-2.576622355E-1,1.826189821E0,2.002885838E0
3.402863750E-1,9.456163931E-1,-1.721893913E-1,1.811015127E0,2.050272016E0
3.502723750E-1,6.246913773E-1,-3.476286650E-1,1.791966945E0,1.929308305E0
3.602583750E-1,4.002214462E-1,-5.158425343E-1,1.295725447E0,1.450922176E0
3.702443750E-1,1.353110021E-1,-6.127420074E-1,9.169097802E-1,1.111073976E0
3.802303750E-1,-1.791996181E-1,-1.009208372E0,4.583310753E-1,1.122800701E0
3.902163750E-1,-1.079049270E0,-1.384662766E0,-1.777733068E0,2.498394117E0
4.002023750E-1,-9.170539141E-1,-1.418715196E0,-3.061293967E0,3.496464135E0
4.101883750E-1,-7.880772007E-1,-2.031089998E0,-4.160876319E0,4.696731204E0
4.201743750E-1,-5.249086422E-1,-2.930787038E0,-5.072560735E0,5.881829151E0
4.301603750E-1,-1.735979855E-2,-3.550657970E0,-5.299558418E0,6.379090281E0
4.401463750E-1,6.644600451E-1,-3.887557579E0,-5.146994036E0,6.484300941E0
4.501323750E-1,1.036452888E0,-4.143865015E0,-4.590286481E0,6.270293600E0
4.601183750E-1,7.523629922E-1,-4.373036692E0,-3.782505333E0,5.830681485E0
4.701043750E-1,-1.542507184E-1,-4.460319834E0,-3.096846793E0,5.432191672E0
