"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.100416602E-4,1.222009599E-1,2.012734419E-1,-2.862932000E-1,3.706856747E-1
9.474958351E-3,8.239305729E-1,2.515619450E-1,-2.164844253E-1,8.882626343E-1
1.946095831E-2,8.305852890E-1,2.229470604E-1,-2.087397516E-1,8.849573989E-1
2.944695833E-2,8.836581266E-1,2.285597661E-1,2.675455648E-2,9.131303618E-1
3.943195834E-2,1.205101790E0,1.218474409E-1,1.632273456E-1,1.222194866E0
4.941795830E-2,1.179060046E0,-7.189584704E-2,7.766324455E-1,1.413686514E0
5.940295832E-2,1.206146103E0,-4.170822214E-1,1.275560739E0,1.804383884E0
6.938895833E-2,1.575082022E0,-3.959468392E-1,1.860229679E0,2.469435509E0
7.937395835E-2,1.580103611E0,-5.276350527E-1,2.053526934E0,2.644257748E0
8.935995831E-2,1.407037137E0,-5.454396050E-1,1.945848119E0,2.462434318E0
9.934495832E-2,1.274166178E0,-4.239444406E-1,1.670370587E0,2.143213997E0
1.093309583E-1,9.830830121E-1,-2.829430744E-1,1.313562963E0,1.664919412E0
1.193169584E-1,8.210572511E-1,-2.140922928E-1,8.993462062E-1,1.236444143E0
1.293019583E-1,7.220440096E-1,-2.076582725E-1,4.267929482E-1,8.640727577E-1
1.392879583E-1,6.291919792E-1,-1.512195949E-1,-3.796831012E-2,6.482218024E-1
1.492729583E-1,5.592218578E-1,-5.765124399E-2,-3.504786344E-1,6.624862454E-1
1.592589584E-1,4.060411799E-1,-1.726424408E-1,-4.823087525E-1,6.536792676E-1
1.692439583E-1,1.937790656E-1,-9.668327227E-2,-2.487475340E-1,3.298080003E-1
1.792299583E-1,-1.011287642E-1,2.739193954E-2,3.635542146E-1,3.783503829E-1
1.892149583E-1,-5.138334310E-1,-7.170937568E-2,9.797348233E-1,1.108624081E0
1.992009583E-1,-7.367860097E-1,-2.685299436E-1,1.288037382E0,1.507979526E0
2.091859583E-1,-6.387714726E-1,-1.743199705E-1,1.424156030E0,1.570553038E0
2.191719583E-1,-7.177387047E-1,-1.200126395E-2,1.814952203E0,1.951754180E0
2.291579584E-1,-1.155641947E0,6.990185514E-2,1.700521024E0,2.057222966E0
2.391429583E-1,-1.489039659E0,2.216142241E-1,1.593114835E0,2.191886596E0
2.491289583E-1,-9.984149963E-1,3.133806458E-1,1.298473346E0,1.667654930E0
2.591139583E-1,-3.643329906E-1,2.846171688E-1,1.128812875E0,1.219821286E0
2.690999584E-1,-8.630548775E-2,1.079183317E-1,9.151828051E-1,9.255563571E-1
2.790849583E-1,2.241787398E-1,9.197977200E-2,6.622229004E-1,7.051634957E-1
2.890709583E-1,3.104444665E-1,3.724111383E-1,5.137699887E-1,7.064173158E-1
2.990559583E-1,-2.960971534E-1,5.350727841E-1,4.267847621E-1,7.457356379E-1
3.090419583E-1,-8.160976428E-1,2.385145777E-1,3.560188347E-1,9.217667693E-1
3.190269583E-1,-9.242389727E-1,6.552163281E-2,2.125632459E-1,9.506281589E-1
3.290129583E-1,-9.040806967E-1,1.563264068E-1,-2.883238649E-1,9.617330725E-1
3.389989584E-1,-6.766889119E-1,2.766223439E-1,-7.695780721E-1,1.061450995E0
3.489839583E-1,-4.219964772E-1,2.755987157E-1,-8.461581784E-1,9.848955995E-1
3.589699583E-1,-2.572517610E-1,1.446708960E-1,-9.050349623E-1,9.519434960E-1
3.689549583E-1,-1.513007981E-1,6.622092325E-2,-1.292455099E0,1.302964821E0
3.789409584E-1,-8.482789636E-2,5.762763586E-2,-1.998402309E0,2.001031860E0
3.889259583E-1,2.280121744E-1,1.469279213E-1,-2.850309470E0,2.863187287E0
3.989119583E-1,5.507281923E-1,4.732347509E-1,-3.611888843E0,3.684154406E0
4.088969583E-1,9.206698322E-1,7.952529037E-1,-3.949483686E0,4.132611947E0
4.188829584E-1,9.951680374E-1,5.958612420E-1,-3.885515147E0,4.054952281E0
4.288679583E-1,8.568322706E-1,1.915147679E-1,-3.711639419E0,3.814066940E0
4.388539583E-1,8.390579045E-1,-9.340090122E-2,-3.463038613E0,3.564460455E0
4.488399583E-1,7.006531405E-1,-1.111202304E-1,-3.279587485E0,3.355436871E0
4.588249583E-1,3.203069651E-1,-1.487059134E-1,-3.458228694E0,3.476212838E0
4.688109583E-1,-1.670561206E-1,-6.059224728E-2,-4.011539016E0,4.015473129E0
4.787959583E-1,-6.871677071E-1,1.175549451E-1,-4.685923541E0,4.737499135E0
4.887819584E-1,-1.243135005E0,3.805329940E-1,-5.507197139E0,5.658569636E0
4.987669583E-1,-1.389545192E0,5.485922045E-1,-6.064657230E0,6.245947211E0
5.087529583E-1,-1.610966969E0,5.518290769E-1,-5.790737981E0,6.035923813E0
5.187379583E-1,-1.851026162E0,3.121270028E-1,-5.029608843E0,5.368490126E0
5.287239584E-1,-2.375559413E0,-2.230975165E-1,-4.255131682E0,4.878442441E0
5.387099583E-1,-3.043294483E0,-6.291907366E-1,-3.463579481E0,4.653375669E0
5.486949583E-1,-3.583594751E0,-7.690624939E-1,-2.899653538E0,4.673499663E0
5.586809583E-1,-3.786807130E0,-8.635558377E-1,-2.606970574E0,4.677812790E0
