"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.214166405E-4,2.486393970E-1,3.122705519E-2,-3.153181207E-1,4.027681665E-1
1.010741666E-2,7.021278083E-2,1.303642577E-1,-6.333248643E-1,6.504037654E-1
2.009341668E-2,6.714123845E-2,1.757860136E-1,-5.442442149E-1,5.758562615E-1
3.007941664E-2,1.679311565E-1,1.151597428E-1,-2.507864946E-1,3.230425755E-1
4.006541666E-2,2.052942798E-1,6.924389720E-2,5.806460559E-2,2.243032702E-1
5.005141668E-2,2.251464540E-1,1.458821833E-1,1.922120849E-1,3.300273060E-1
6.003741664E-2,2.836683118E-1,2.511589622E-1,1.261893457E-1,3.993398132E-1
7.002341666E-2,4.656897962E-1,2.535171443E-1,7.530972563E-2,5.355459677E-1
8.000929165E-2,5.639031386E-1,2.948528659E-1,1.245625041E-2,6.364590486E-1
8.999529167E-2,5.888909224E-1,4.901299882E-1,-4.306072332E-2,7.673813587E-1
9.998129169E-2,6.733840656E-1,6.117742932E-1,-1.535549728E-1,9.226554153E-1
1.099672916E-1,8.011512825E-1,6.755077744E-1,-2.918462276E-1,1.087808968E0
1.199532917E-1,8.499164763E-1,7.470443648E-1,-2.916064187E-1,1.168532243E0
1.299392917E-1,8.883972949E-1,8.525345671E-1,-3.440068996E-1,1.278438770E0
1.399242917E-1,1.033028174E0,1.044613847E0,-5.164195814E-1,1.557258643E0
1.499102917E-1,1.217784109E0,1.192082380E0,-5.101520240E-1,1.778851771E0
1.598962917E-1,1.393729751E0,1.307235106E0,-3.064216186E-1,1.935262373E0
1.698822917E-1,1.486332983E0,1.431137021E0,-9.307122789E-3,2.063352983E0
1.798682917E-1,1.565159589E0,1.597437097E0,1.368558365E-1,2.240593524E0
1.898542917E-1,1.648624500E0,1.605357735E0,1.686735336E-1,2.307289960E0
1.998402917E-1,1.615409976E0,1.494580480E0,2.398475236E-1,2.213785680E0
2.098262917E-1,1.392950610E0,1.356480356E0,3.749953518E-1,1.980144407E0
2.198122917E-1,1.178388201E0,1.240200287E0,6.402291834E-1,1.826633218E0
2.297982917E-1,1.253822545E0,1.343988950E0,7.219095236E-1,1.974722925E0
2.397842917E-1,1.530110209E0,1.610067083E0,3.039318377E-1,2.241858119E0
2.497702917E-1,1.860292537E0,1.887761879E0,-1.591564592E-1,2.655120339E0
2.597562917E-1,2.349187593E0,2.216343239E0,-4.463758582E-1,3.260385116E0
2.697422917E-1,3.127443518E0,2.627362154E0,-4.267071404E-2,4.084820147E0
2.797282917E-1,3.889542709E0,2.660391321E0,7.295407248E-1,4.768485518E0
2.897132917E-1,3.711918331E0,2.275107172E0,1.538810574E0,4.617617169E0
2.996992916E-1,2.371659905E0,2.328934885E0,2.132687125E0,3.949311683E0
3.096852917E-1,1.554890417E0,2.195905466E0,2.461525762E0,3.646751171E0
3.196712917E-1,1.425316118E0,1.200925709E0,2.803073323E0,3.366150420E0
3.296572916E-1,1.272445050E0,-1.932411218E-1,2.482730105E0,2.796499117E0
3.396432917E-1,1.508349796E0,-6.974254775E-1,2.314658323E0,2.849414774E0
3.496292917E-1,7.582042875E-1,-1.981445968E-1,2.862343040E0,2.967683052E0
3.596152916E-1,3.093709908E-1,6.947661638E-2,3.048379807E0,3.064825747E0
3.696012917E-1,3.707590806E-1,-4.114685655E-1,3.195692804E0,3.243334884E0
3.795872917E-1,2.095634050E-1,-1.064376851E0,3.647007805E0,3.804928492E0
3.895732916E-1,-2.634730522E-1,-1.589000734E0,4.442510385E0,4.725488324E0
3.995592917E-1,-7.890269347E-1,-2.483955681E0,5.208923067E0,5.824558253E0
4.095452917E-1,-1.440795744E0,-3.572851077E0,5.410597628E0,6.641966869E0
4.195312916E-1,-2.455703689E0,-3.886115656E0,4.780270119E0,6.631995018E0
4.295172917E-1,-2.770876215E0,-3.734096235E0,3.544413729E0,5.846716888E0
4.395032917E-1,-2.818481321E0,-4.099200473E0,2.512417004E0,5.573106914E0
4.494882917E-1,-2.786279242E0,-4.773225979E0,2.306737685E0,5.988996327E0
4.594742917E-1,-3.206750473E0,-5.545777652E0,2.564119254E0,6.900261293E0
4.694602917E-1,-3.628229472E0,-5.958348418E0,2.246828721E0,7.328997494E0
4.794462917E-1,-3.588307022E0,-6.258716962E0,1.705300099E0,7.413199966E0
4.894322917E-1,-3.891299797E0,-6.963089517E0,1.504962212E0,8.117372789E0
4.994182917E-1,-3.917594141E0,-7.209830323E0,1.140285405E0,8.284289224E0
5.094042917E-1,-3.813606089E0,-7.520128024E0,1.128344221E0,8.507001680E0
5.193902917E-1,-3.741490916E0,-8.467643008E0,1.660809220E0,9.405212366E0
5.293762917E-1,-3.913229780E0,-9.265694974E0,2.186959226E0,1.029316576E1
5.393622917E-1,-3.772580562E0,-9.967226951E0,2.112664504E0,1.086468262E1
5.493482916E-1,-3.448414142E0,-1.056890427E1,1.586077126E0,1.122982361E1
5.593342917E-1,-3.248384403E0,-1.042524403E1,-4.046616755E-2,1.091967728E1
5.693202917E-1,-2.633739127E0,-1.007448944E1,-1.351392109E0,1.050038952E1
5.793062916E-1,-1.481131884E0,-9.767598331E0,-1.133989123E0,9.944126917E0
5.892922917E-1,-5.871291563E-1,-9.050133861E0,-2.314971149E0,9.359953791E0
5.992782917E-1,-1.405837288E-1,-8.806805490E0,-4.238523835E0,9.774695444E0
6.092632916E-1,3.724728996E-1,-8.803669043E0,-5.405166149E0,1.033726975E1
6.192492917E-1,1.466838951E0,-8.830434673E0,-5.820105622E0,1.067716360E1
6.292352917E-1,2.412505045E0,-9.282563607E0,-5.460961450E0,1.103667829E1
6.392212916E-1,2.658408530E0,-9.344200276E0,-5.261326983E0,1.104820240E1
6.492072917E-1,3.061594514E0,-8.460847374E0,-5.414425800E0,1.050120498E1
6.591932917E-1,3.739658691E0,-7.150636035E0,-5.618160335E0,9.832617575E0
6.691792916E-1,4.182575921E0,-5.864499437E0,-5.940599195E0,9.336863166E0
6.791652917E-1,4.293411064E0,-4.722753983E0,-6.660465117E0,9.224943323E0
6.891512917E-1,3.979342493E0,-4.451568014E0,-7.625207752E0,9.684803443E0
6.991372917E-1,3.393155031E0,-5.124664105E0,-8.191573738E0,1.024097474E1
7.091232917E-1,2.728176922E0,-6.108576837E0,-7.979966512E0,1.041333404E1
7.191092917E-1,2.791817433E0,-7.134310609E0,-7.239516052E0,1.054055146E1
7.290952917E-1,2.976616344E0,-7.907275681E0,-6.881085241E0,1.089654017E1
7.390812917E-1,3.405067563E0,-8.512160200E0,-6.969449533E0,1.151627471E1
7.490672917E-1,4.441030455E0,-8.643507375E0,-6.784240147E0,1.185153516E1
7.590532917E-1,5.997806599E0,-7.640813971E0,-7.368105680E0,1.219199342E1
7.690382916E-1,8.765383229E0,-4.972119604E0,-8.541284012E0,1.321012676E1
7.790242917E-1,1.099627493E1,-2.960670110E0,-1.051508065E1,1.550001777E1
7.890102917E-1,1.284981539E1,-1.964110874E0,-1.300703532E1,1.838908521E1
7.989962916E-1,1.359526990E1,-5.374205142E-1,-1.442685857E1,1.983064377E1
8.089822917E-1,1.482486918E1,-2.541755408E-1,-1.580147816E1,2.166859625E1
8.189682917E-1,1.687847681E1,-1.936968830E0,-1.520084866E1,2.279694338E1
8.289542916E-1,1.724786764E1,-3.513253332E0,-1.051205296E1,2.050207659E1
8.389402917E-1,1.736426816E1,-6.638101856E0,-6.710000973E0,1.976376275E1
8.489262917E-1,1.681844578E1,-6.534974513E0,-4.613280072E0,1.862386543E1
8.589122916E-1,1.905874565E1,-4.399400326E0,-4.869393380E0,2.015692191E1
8.688982917E-1,2.309384251E1,-3.205321999E0,-6.564374313E0,2.422169815E1
8.788842917E-1,2.558052534E1,-2.764015676E0,-8.060162244E0,2.696236775E1
8.888702916E-1,2.610420665E1,-4.813203392E0,-7.330232679E0,2.753777120E1
8.988562917E-1,2.353359289E1,-9.854182731E0,-2.579150691E0,2.564345784E1
9.088422917E-1,1.659063826E1,-1.241480243E1,3.395372880E0,2.099774165E1
9.188272917E-1,9.791697630E0,-1.247199170E1,8.326723357E0,1.790983644E1
9.288132917E-1,5.043921658E0,-1.077297093E1,1.176365532E1,1.672966332E1
9.387992917E-1,3.123546934E0,-8.292306061E0,1.295212529E1,1.569319709E1
9.487852917E-1,2.657392868E0,-5.223534674E0,1.304152688E1,1.429784860E1
9.587712917E-1,2.835381236E0,-2.747669200E0,1.158755941E1,1.224175665E1
9.687572917E-1,2.750733141E0,-1.780093004E0,1.015310058E1,1.066867917E1
9.787432917E-1,1.658291409E0,-5.677009052E-1,8.457716190E0,8.637428892E0
9.887292917E-1,5.060933255E-1,-9.165709341E-1,5.617705421E0,5.714441962E0
9.987152917E-1,-5.333321410E-1,-2.090736861E0,2.822023564E0,3.552385225E0
1.008701292E0,-1.379247221E0,-2.841045141E0,1.723701287E0,3.597916969E0
1.018687292E0,-2.067134721E0,-3.344848258E0,2.839254139E0,4.849991742E0
1.028673292E0,-2.579078186E0,-3.628038268E0,4.559476917E0,6.372058986E0
1.038659292E0,-2.599051105E0,-3.423189254E0,5.618011231E0,7.073566392E0
1.048645292E0,-2.651112666E0,-3.048269879E0,5.529297275E0,6.847881131E0
1.058631292E0,-2.492205226E0,-2.694263656E0,4.533035223E0,5.832542488E0
1.068616292E0,-1.842574596E0,-2.063553740E0,3.663111037E0,4.590394063E0
1.078602625E0,-9.394920925E-1,-1.402405558E0,3.129077230E0,3.555349638E0
1.088588625E0,-4.463586820E-1,-1.268680320E0,2.545100015E0,2.878596866E0
1.098574625E0,-6.052531859E-1,-1.468472078E0,1.787673334E0,2.391342220E0
1.108560625E0,-1.005036164E0,-1.893140148E0,1.114512632E0,2.415826094E0
1.118546625E0,-1.441822808E0,-2.377402455E0,5.941718352E-1,2.843226268E0
1.128532625E0,-1.598448373E0,-2.468267017E0,2.315795606E-1,2.949747169E0
1.138518625E0,-1.068563019E0,-1.971249593E0,5.136960214E-1,2.300333778E0
1.148504625E0,-3.407526317E-1,-1.298440309E0,6.098499745E-1,1.474441109E0
1.158490625E0,2.289711177E-1,-5.702204704E-1,4.289172417E-1,7.493658371E-1
1.168476625E0,5.938588630E-1,1.481035405E-1,1.892234999E-1,6.406313610E-1
1.178462625E0,7.904615490E-1,4.037455630E-1,9.171299279E-2,8.923290947E-1
1.188448625E0,7.410867830E-1,3.340292108E-1,-1.451582980E-1,8.257457630E-1
1.198434625E0,5.598529185E-1,3.163349515E-1,-6.218461221E-1,8.945365792E-1
1.208420625E0,3.640407760E-1,1.001937944E-1,-1.099502830E0,1.162527830E0
1.218406625E0,1.678748770E-1,-1.052405262E-1,-1.345393451E0,1.359904806E0
1.228392625E0,-1.610405052E-1,-2.165434456E-1,-1.656022105E0,1.677866002E0
1.238377625E0,-1.854745576E-1,-6.948129416E-2,-1.945406070E0,1.955462410E0
1.248363625E0,2.723808467E-1,3.072279131E-1,-1.903479195E0,1.947257908E0
1.258349625E0,8.874151088E-1,7.821902239E-1,-1.768244206E0,2.127443230E0
1.268335625E0,1.386815273E0,1.299710324E0,-1.899532909E0,2.687141381E0
1.278321625E0,1.914627788E0,1.711415702E0,-2.295105234E0,3.444161917E0
1.288307625E0,2.514920197E0,1.996677965E0,-2.548874978E0,4.099793915E0
1.298293625E0,2.760557048E0,2.239906933E0,-2.806923714E0,4.529534085E0
1.308279625E0,2.526787121E0,2.120935975E0,-3.063382593E0,4.501925752E0
1.318265625E0,2.261374401E0,1.975717451E0,-3.176263676E0,4.371032437E0
1.328251625E0,2.120273486E0,2.037014982E0,-3.344009768E0,4.452795865E0
1.338237625E0,2.338177871E0,2.222192793E0,-3.696501562E0,4.906051403E0
1.348223625E0,3.339661778E0,2.817532902E0,-4.252862377E0,6.097431496E0
1.358209625E0,4.659563123E0,3.531542253E0,-5.172274473E0,7.806134921E0
1.368195625E0,5.499080034E0,3.674734717E0,-5.646271994E0,8.696202843E0
1.378181625E0,5.719726471E0,3.478068881E0,-5.361372843E0,8.576511692E0
1.388167625E0,5.661017502E0,2.736426174E0,-4.768411966E0,7.891318017E0
1.398152625E0,5.279774364E0,1.529623429E0,-3.732784997E0,6.644505173E0
1.408138625E0,4.702455958E0,6.346404147E-1,-2.635127256E0,5.427684234E0
1.418124625E0,3.933898517E0,-1.113619763E-1,-1.642092283E0,4.264320122E0
1.428110625E0,3.291863129E0,-1.524480218E-1,-1.388662847E0,3.576029609E0
1.438096625E0,3.368774480E0,-2.070768034E-1,-2.345942242E0,4.110348806E0
1.448082625E0,3.582555409E0,-6.622223157E-1,-2.738155196E0,4.557492241E0
1.458068625E0,3.540476798E0,-1.209958488E0,-2.256135149E0,4.369109900E0
1.468054625E0,2.854543439E0,-2.205059867E0,-1.462629540E0,3.892299119E0
1.478040625E0,1.875999328E0,-3.292220394E0,1.867951512E-2,3.789252898E0
1.488026625E0,2.930545548E-1,-4.752908074E0,1.875702581E0,5.118034418E0
1.498012625E0,-1.823529338E0,-5.795216364E0,3.285353424E0,6.906760389E0
1.507998625E0,-3.664088399E0,-6.030486687E0,4.098173702E0,8.160106689E0
1.517984625E0,-4.059711595E0,-5.928934000E0,4.911847674E0,8.704008512E0
1.527970625E0,-3.728839881E0,-6.211135245E0,5.539083175E0,9.119423792E0
1.537956625E0,-3.869662468E0,-6.886456493E0,5.497369723E0,9.623858089E0
1.547941625E0,-3.231913674E0,-6.678448228E0,4.135048583E0,8.493854456E0
1.557927625E0,-1.951345087E0,-6.757562810E0,3.068331091E0,7.673790359E0
1.567913625E0,-1.203356104E0,-7.194025299E0,4.288117579E0,8.461088481E0
1.577899625E0,-8.439412066E-1,-7.376229216E0,6.419406050E0,9.814772960E0
1.587885625E0,-5.666408050E-1,-8.407227822E0,7.563588624E0,1.132300465E1
1.597871625E0,-2.017681456E0,-1.011274310E1,7.999890314E0,1.305131627E1
1.607857625E0,-3.883225670E0,-1.130029038E1,8.279783664E0,1.453722194E1
1.617843625E0,-3.730226548E0,-1.274537710E1,7.880938652E0,1.544242279E1
1.627829625E0,-2.326593660E0,-1.375796516E1,5.850377827E0,1.513015414E1
1.637815625E0,-1.123995208E0,-1.388011818E1,3.553765765E0,1.437185781E1
1.647801625E0,-1.135266886E-1,-1.432525033E1,2.326046945E0,1.451331044E1
1.657787625E0,1.815453456E0,-1.289436299E1,-3.199596405E-3,1.302153902E1
1.667773625E0,2.790548002E0,-9.318190107E0,-1.600920868E0,9.857929430E0
1.677759625E0,1.067103847E0,-9.414563915E0,-1.683985244E0,9.623332616E0
1.687745625E0,-7.179519819E-1,-1.196114386E1,-2.827235187E0,1.231168861E1
1.697731625E0,-9.256206697E-1,-1.390091672E1,-3.732709275E0,1.442308490E1
1.707717625E0,1.199570909E-1,-1.590462889E1,-3.708278439E0,1.633165450E1
1.717702625E0,2.481193457E0,-1.639868236E1,-3.097325387E0,1.687206356E1
1.727688625E0,5.440475146E0,-1.480923139E1,-2.873242249E0,1.603644677E1
1.737674625E0,1.019703890E1,-1.059944194E1,-3.521491474E0,1.512377843E1
1.747660625E0,1.211063495E1,-3.742613289E0,-7.594546123E0,1.477673049E1
1.757646625E0,1.125612051E1,1.019860829E0,-1.291735424E1,1.716386919E1
1.767632625E0,1.155626043E1,2.974643494E0,-1.539563929E1,1.947874144E1
1.777618625E0,1.111311516E1,1.903471886E0,-1.372394840E1,1.776151158E1
1.787604625E0,9.601597633E0,-1.212140376E0,-8.491551104E0,1.287503016E1
1.797590625E0,6.770974569E0,-4.419179702E0,-3.233661114E0,8.708146189E0
1.807576625E0,3.992356056E0,-6.503379668E0,-1.282002032E0,7.737983148E0
1.817562625E0,2.098791985E0,-7.704460913E0,-2.183980654E0,8.278491243E0
1.827548625E0,1.326946655E0,-8.214685442E0,-3.373100835E0,8.978844780E0
1.837534625E0,1.901195272E0,-7.693297409E0,-3.171361370E0,8.535742582E0
1.847520625E0,2.848599159E0,-7.138542824E0,-3.141976773E0,8.303332395E0
1.857506625E0,4.028237495E0,-6.215451660E0,-4.120151632E0,8.475505066E0
1.867492625E0,5.316017160E0,-5.010411850E0,-5.716616921E0,9.275989132E0
1.877477625E0,7.066454256E0,-3.835466782E0,-7.321720887E0,1.087442771E1
1.887463625E0,8.056942767E0,-2.348168423E0,-8.368015809E0,1.185124087E1
1.897449625E0,8.836905786E0,-2.020843045E0,-8.694358270E0,1.256051656E1
1.907435625E0,9.745114617E0,-1.667835088E0,-8.462920212E0,1.301422112E1
1.917421625E0,1.064273473E1,-9.495309578E-1,-7.764679048E0,1.320831754E1
1.927407625E0,1.137496985E1,-5.730848752E-1,-6.650321367E0,1.318882632E1
1.937393625E0,1.140227868E1,-1.286113501E0,-5.174339710E0,1.258728877E1
1.947379625E0,1.047603996E1,-2.607674578E0,-3.524185871E0,1.135637557E1
1.957365625E0,9.066271591E0,-3.760701359E0,-2.637774875E0,1.016356294E1
1.967351625E0,8.291345363E0,-4.537237910E0,-1.647844189E0,9.594181896E0
1.977337625E0,8.022193934E0,-4.986181573E0,-6.703774273E-1,9.469266502E0
1.987323625E0,8.294223948E0,-4.403052789E0,2.259755892E-1,9.393193798E0
1.997309625E0,9.242714247E0,-2.481938684E0,3.802660686E-1,9.577702677E0
2.007295625E0,1.139149291E1,1.051295387E-1,-3.871651983E-1,1.139855516E1
2.017281625E0,1.414479122E1,2.548106361E0,-1.570451612E0,1.445801795E1
2.027267625E0,1.642162215E1,3.337772543E0,-2.244260770E0,1.690701352E1
2.037252625E0,1.786796369E1,-3.492047819E-1,-1.960702386E0,1.797861019E1
2.047238625E0,1.508750857E1,-5.575104947E0,4.801885521E-1,1.609177712E1
2.057224625E0,1.127648169E1,-6.743678597E0,3.979814948E0,1.372862583E1
2.067210625E0,8.727306161E0,-6.741805149E0,5.904209633E0,1.250909673E1
2.077196750E0,8.074711286E0,-5.471466558E0,7.399422782E0,1.224293127E1
2.087182750E0,8.697574823E0,-2.117335845E0,6.351339197E0,1.097590217E1
2.097168750E0,8.736250647E0,7.256970575E-1,4.054364024E0,9.658497772E0
2.107154750E0,7.586001586E0,9.577031726E-1,1.204537534E0,7.740512005E0
2.117140750E0,5.210511755E0,-7.299143618E-1,2.997826535E-1,5.269921951E0
2.127126750E0,2.211897455E0,-2.838615038E0,2.465518241E0,4.362224878E0
2.137112750E0,-6.928110011E-1,-4.794914471E0,6.098512609E0,7.788648657E0
2.147098750E0,-2.832390677E0,-5.411113937E0,9.423679140E0,1.122979606E1
2.157084750E0,-3.448612363E0,-5.000727691E0,1.034731000E1,1.199862613E1
2.167070750E0,-3.349644729E0,-4.509889605E0,9.456803616E0,1.099956175E1
2.177056750E0,-3.196771908E0,-3.709784682E0,7.717538211E0,9.140144914E0
2.187042750E0,-2.636087369E0,-2.148636575E0,4.538125809E0,5.670994764E0
2.197027750E0,-1.211512678E0,-7.279380029E-1,2.191386738E0,2.607648853E0
2.207013750E0,8.356533632E-2,1.809736633E-1,1.446562561E0,1.460232130E0
