"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.464624973E-3,1.007837784E-1,-1.307846725E-2,-7.521846521E-1,7.590192139E-1
1.445062499E-2,-2.313246220E-1,-1.134462163E-1,-1.067588142E0,1.098237482E0
2.443662501E-2,4.415407956E-2,-8.987433583E-2,-8.962097597E-1,9.017865115E-1
3.442262497E-2,6.342609304E-1,-1.479637921E-3,6.551901618E-1,9.119009076E-1
4.440862499E-2,7.586575198E-1,-1.081847455E-1,1.524398210E0,1.706181431E0
5.439362500E-2,1.551235322E0,2.345973086E-1,1.127233250E0,1.931844125E0
6.437962496E-2,2.336638591E0,8.511747971E-2,1.111186444E0,2.588795126E0
7.436562498E-2,4.243674647E0,-4.055504523E-1,1.805999970E0,4.629782022E0
8.435162500E-2,3.592031114E0,-9.953117327E-1,2.355452008E0,4.409250178E0
9.433762496E-2,3.159848202E0,-1.480947843E0,2.602272921E0,4.353122044E0
1.043236250E-1,2.859266819E0,-1.646712314E0,2.286852474E0,4.014568772E0
1.143096250E-1,2.452508186E0,-1.561875939E0,1.582078800E0,3.310170114E0
1.242956250E-1,1.927713565E0,-1.385902815E0,8.715128750E-1,2.529098830E0
1.342816250E-1,1.393616608E0,-1.303634537E0,2.943691550E-1,1.930876344E0
1.442676250E-1,8.160836095E-1,-1.289149083E0,-1.290107735E-1,1.531189602E0
1.542526250E-1,2.480634463E-1,-1.262908826E0,-4.784133375E-1,1.373081752E0
1.642386250E-1,-1.700376159E-1,-1.250592543E0,-6.246434301E-1,1.408216573E0
1.742246250E-1,-5.408516604E-1,-1.042148369E0,-5.765927660E-1,1.308072230E0
1.842106250E-1,-8.542577416E-1,-7.741871399E-1,-4.394697118E-1,1.233797246E0
1.941966250E-1,-1.035581653E0,-5.582763630E-1,-1.986994976E-1,1.193140121E0
2.041826250E-1,-1.259670931E0,-4.414144957E-1,2.248932695E-1,1.353585828E0
2.141686250E-1,-1.442467171E0,-3.785303226E-1,7.934309113E-1,1.689239283E0
2.241546250E-1,-1.555316094E0,-3.301057291E-1,1.344648516E0,2.082320238E0
2.341406250E-1,-1.587125532E0,-2.383272475E-1,1.681373878E0,2.324389263E0
2.441256250E-1,-1.534828035E0,-5.251121253E-2,2.012552863E0,2.531565435E0
2.541116250E-1,-1.499361749E0,-5.079037696E-2,2.224591321E0,2.683183159E0
2.640976250E-1,-1.391274798E0,-1.750171047E-1,2.187948867E0,2.598729843E0
