"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.736333318E-3,4.914160833E-2,2.648391080E-1,-9.513127506E-2,2.856652066E-1
1.572233328E-2,-1.503591040E-1,3.005872303E-1,-2.383412991E-1,4.120280549E-1
2.570833330E-2,3.971483689E-2,4.697851861E-1,-3.927703393E-1,6.136317533E-1
3.569333331E-2,3.416806579E-1,6.077888310E-1,-4.453783597E-1,8.273541070E-1
4.567933333E-2,6.225004256E-1,7.605245358E-1,-2.840811253E-1,1.023037846E0
5.566433328E-2,6.552081420E-1,7.950096595E-1,8.736268261E-2,1.033910202E0
6.565033330E-2,5.705461238E-1,6.948228818E-1,4.536860472E-1,1.007041581E0
7.563533331E-2,6.201475791E-1,7.214926171E-1,5.973936510E-1,1.123393872E0
8.562133333E-2,7.125887695E-1,7.821212268E-1,5.996091610E-1,1.216152751E0
9.560733329E-2,7.322735672E-1,7.257178152E-1,5.545604575E-1,1.170652906E0
1.055923333E-1,7.508771416E-1,6.494461495E-1,4.392738301E-1,1.085614241E0
1.155783333E-1,7.456580631E-1,5.746988529E-1,2.396873099E-1,9.714600996E-1
1.255633333E-1,7.118148905E-1,5.244847190E-1,-4.600589275E-3,8.841865325E-1
1.355493333E-1,6.055320616E-1,5.330964983E-1,-1.675133729E-1,8.239670407E-1
1.455343333E-1,5.576630632E-1,5.375497377E-1,-1.840528071E-1,7.961301705E-1
1.555203333E-1,6.402873632E-1,6.019234890E-1,-1.522743595E-1,8.918897211E-1
1.655063333E-1,7.430182645E-1,7.133334124E-1,-1.527819161E-1,1.041279507E0
1.754913333E-1,7.631858960E-1,8.516031057E-1,2.178789496E-2,1.143746158E0
1.854773333E-1,8.354925647E-1,9.164300162E-1,3.191702664E-1,1.280531710E0
1.954623333E-1,8.585973988E-1,9.032059532E-1,5.413925278E-1,1.358703925E0
2.054483333E-1,7.265118670E-1,8.281458306E-1,6.120935512E-1,1.260279146E0
2.154343333E-1,5.330451889E-1,7.242536724E-1,6.062381494E-1,1.084529967E0
2.254193333E-1,2.885770859E-1,5.787310928E-1,5.947694937E-1,8.786109281E-1
2.354053333E-1,9.361238770E-2,5.215248585E-1,5.930035615E-1,7.952387573E-1
