"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.297208364E-3,1.977392020E-1,6.906473851E-1,-4.446374810E-1,8.448651325E-1
8.687791647E-3,5.889790691E-3,1.234401603E0,6.853685188E-1,1.411917850E0
1.867379167E-2,-1.395130160E0,8.373452550E-1,1.206285267E0,2.025502255E0
2.865879168E-2,-1.783141742E0,3.921294844E-1,1.060804203E0,2.111555247E0
3.864379163E-2,-1.620262580E0,5.182802385E-1,5.423994184E-1,1.785514593E0
4.862979165E-2,-1.587937564E0,8.859490657E-1,1.161046529E-1,1.822067986E0
5.861479166E-2,-1.367365533E0,8.195521778E-1,2.341377175E-1,1.611264952E0
6.860079168E-2,-1.114533244E0,7.694397855E-1,7.429980916E-1,1.544755029E0
7.858579163E-2,-1.031536330E0,9.503169698E-1,1.405885820E0,1.985871215E0
8.857079165E-2,-9.788575217E-1,1.054033127E0,1.959325367E0,2.430659123E0
9.855679167E-2,-9.469736780E-1,1.104405136E0,2.162309119E0,2.606156284E0
1.085417917E-1,-1.127615146E0,1.311581926E0,2.024384996E0,2.662686178E0
1.185267916E-1,-1.534668114E0,1.375216005E0,1.839939256E0,2.762571582E0
1.285127916E-1,-1.941138041E0,1.284813958E0,1.707804462E0,2.887102333E0
1.384977917E-1,-2.072516937E0,1.173285336E0,1.570052247E0,2.852540796E0
1.484837917E-1,-1.812719298E0,1.074501305E0,1.416673933E0,2.539186748E0
1.584687916E-1,-1.279306758E0,1.085323332E0,1.239472893E0,2.085868061E0
1.684537916E-1,-9.645589598E-1,1.045538292E0,1.093476689E0,1.794217260E0
1.784397917E-1,-1.116886748E0,7.562116295E-1,1.011280040E0,1.685817118E0
1.884247917E-1,-1.332291302E0,3.976434088E-1,8.445677358E-1,1.626780580E0
1.984097917E-1,-1.295255769E0,8.219898820E-2,5.975915793E-1,1.428831648E0
2.083957916E-1,-1.156896468E0,-1.838961017E-1,4.558691052E-1,1.256997953E0
2.183807917E-1,-8.916039810E-1,-3.343168938E-1,4.131198192E-1,1.037975640E0
2.283667917E-1,-7.809797041E-1,-4.948019135E-1,5.098193175E-1,1.055781212E0
2.383517916E-1,-1.010313057E0,-7.743350744E-1,6.227050781E-1,1.417070533E0
2.483367916E-1,-1.099275885E0,-8.686535865E-1,6.550781876E-1,1.546639569E0
2.583227917E-1,-1.018903494E0,-9.504134488E-1,5.955713663E-1,1.515307000E0
2.683077917E-1,-1.106881724E0,-1.199838712E0,4.431537500E-1,1.691503866E0
2.782927917E-1,-1.301552197E0,-1.382481755E0,2.715979046E-1,1.918087419E0
2.882787916E-1,-1.677977376E0,-1.496922875E0,1.726864046E-1,2.255262016E0
2.982637917E-1,-1.654976038E0,-1.662034796E0,1.039015138E-1,2.347786378E0
3.082497917E-1,-1.283156857E0,-1.768931254E0,-8.755211413E-2,2.187069883E0
3.182347916E-1,-9.525637624E-1,-1.787044759E0,-2.979551062E-1,2.046871744E0
3.282197916E-1,-7.570162064E-1,-1.856324909E0,-3.136703753E-1,2.029138933E0
3.382057917E-1,-1.750487820E0,-2.151926218E0,-1.311076435E0,3.068210468E0
3.481907917E-1,-1.653551217E0,-2.856678842E0,-1.518706092E0,3.633361230E0
3.581757917E-1,-5.710835195E-1,-2.472287562E0,-8.217413753E-1,2.667133492E0
3.681617916E-1,-1.162759763E0,-2.143986869E0,-1.513767826E0,2.870571893E0
3.781467917E-1,-1.461269478E0,-2.915687188E0,-1.087003822E0,3.437748911E0
3.881327917E-1,-1.390471098E0,-2.908892723E0,-1.001189500E0,3.376010540E0
3.981177917E-1,-1.312135950E0,-2.792391044E0,-1.016497803E0,3.248448288E0
4.081027916E-1,-1.428211952E0,-2.957502381E0,-8.879333183E-1,3.402210354E0
4.180887917E-1,-1.525241818E0,-3.021296673E0,-7.095090410E-1,3.458034018E0
4.280737917E-1,-1.524019165E0,-2.930459594E0,-4.489313838E-1,3.333431750E0
4.380587917E-1,-1.528671210E0,-2.928807755E0,-3.055784136E-1,3.317850012E0
4.480447916E-1,-1.725069243E0,-2.926285266E0,-2.925122255E-1,3.409482769E0
4.580297917E-1,-1.783470941E0,-2.899032564E0,-3.176578841E-1,3.418488691E0
4.680157917E-1,-1.398782915E0,-2.862879814E0,-6.612145481E-1,3.254209451E0
4.780007917E-1,-9.253505284E-1,-2.649895568E0,-1.181271755E0,3.045262400E0
4.879857916E-1,-7.463201872E-1,-2.330461008E0,-1.240371318E0,2.743458281E0
4.979717917E-1,-6.031081349E-1,-1.986792077E0,-8.556464553E-1,2.245709918E0
5.079566250E-1,-3.564959675E-1,-1.635380849E0,-4.278024700E-1,1.727592211E0
5.179416250E-1,-2.487335372E-1,-1.289823852E0,-2.095411125E-1,1.330196008E0
5.279276250E-1,-3.706550002E-2,-9.111108041E-1,-1.369789204E-1,9.220954252E-1
5.379126250E-1,5.908330750E-1,-5.494634396E-1,-5.783656418E-2,8.089121474E-1
5.478986250E-1,1.323303255E0,-3.297350156E-1,5.798566818E-2,1.364997810E0
5.578836250E-1,2.307401928E0,-5.948606372E-2,-3.886351883E-3,2.308171864E0
5.678686250E-1,3.174631133E0,3.598212790E-1,-3.553674549E-2,3.195155246E0
5.778546250E-1,3.714953620E0,6.855667394E-1,1.726384574E-1,3.781624809E0
5.878396250E-1,4.335948973E0,8.447478300E-1,3.035123000E-1,4.427885738E0
5.978246250E-1,5.029197199E0,9.061985582E-1,5.269539982E-2,5.110459578E0
6.078106250E-1,5.819240819E0,1.046463906E0,-3.901320755E-1,5.925441203E0
6.177956250E-1,6.976819949E0,1.304155378E0,-7.261747751E-1,7.134715667E0
